2025-12-26 13:16:12,063 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]                 Book.java:560  | 1 sheet in C:\Users\Elliot\Downloads\Audiveris\scores\101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0.jpg
2025-12-26 13:16:13,321 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]       StepMonitoring.java:98   | HEADERS
2025-12-26 13:16:13,713 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]      BasicClassifier.java:286  | Classifier loaded XML norms.
2025-12-26 13:16:13,716 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]   AbstractClassifier.java:396  | Classifier data loaded from default uri jar:file:/C:/Users/Elliot/Downloads/Audiveris/app/audiveris.jar!/res/basic-classifier.zip
2025-12-26 13:16:14,405 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]       StepMonitoring.java:98   | STEM_SEEDS
2025-12-26 13:16:14,456 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]        StemSeedsStep.java:86   | stem(2 max:2)
2025-12-26 13:16:14,507 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]       StepMonitoring.java:98   | BEAMS
2025-12-26 13:16:15,365 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]       StepMonitoring.java:98   | LEDGERS
2025-12-26 13:16:15,473 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]       StepMonitoring.java:98   | HEADS
2025-12-26 13:16:17,309 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]        HeadSeedTally.java:235  | Scale information: HeadSeeds{NOTEHEAD_BLACK[L:0.1,R:0.4]}
2025-12-26 13:16:17,310 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]       StepMonitoring.java:98   | STEMS
2025-12-26 13:16:18,057 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]       StepMonitoring.java:98   | REDUCTION
2025-12-26 13:16:18,282 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]        ReductionStep.java:105  | Stems free length median value: 41 pixels, 2.9 interlines
2025-12-26 13:16:18,289 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]       StepMonitoring.java:98   | CUE_BEAMS
2025-12-26 13:16:18,290 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]         CueBeamsStep.java:81   | Step CUE_BEAMS is skipped because small heads switch is off
2025-12-26 13:16:18,291 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]       StepMonitoring.java:98   | TEXTS
2025-12-26 13:16:18,373 WARN [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]         TesseractOCR.java:335  | The collection of supported languages is empty
2025-12-26 13:16:18,375 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]              OcrUtil.java:106  | Missing support for 'eng' language(s)
2025-12-26 13:16:18,384 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]       StepMonitoring.java:98   | MEASURES
2025-12-26 13:16:18,394 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]                 Page.java:307  | 14 raw measures: [4 in system#1, 4 in system#2, 3 in system#3, 3 in system#4]
2025-12-26 13:16:18,396 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]       StepMonitoring.java:98   | CHORDS
2025-12-26 13:16:18,415 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]       StepMonitoring.java:98   | CURVES
2025-12-26 13:16:19,004 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]         SlursBuilder.java:240  | Slurs: 12
2025-12-26 13:16:19,022 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]      SegmentsBuilder.java:155  | Segments: 20
2025-12-26 13:16:19,030 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]       StepMonitoring.java:98   | SYMBOLS
2025-12-26 13:16:19,490 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]       StepMonitoring.java:98   | LINKS
2025-12-26 13:16:19,545 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]       StepMonitoring.java:98   | RHYTHMS
2025-12-26 13:16:19,572 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]        MeasureRhythm.java:1045 | Measure{#2} No timeOffset for HeadChordInter#5356{(0.933/0.933) staff:1 slot#6 dur:1/4}
2025-12-26 13:16:19,572 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]   AbstractChordInter.java:627  | Measure{#2} No timeOffset for HeadChordInter#5356{(0.933/0.933) staff:1 slot#6 dur:1/4}
2025-12-26 13:16:19,573 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]        MeasureRhythm.java:1045 | Measure{#2} No timeOffset for RestChordInter#6002{(0.694/0.694) staff:2 slot#7 dur:1/2}
2025-12-26 13:16:19,573 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]   AbstractChordInter.java:627  | Measure{#2} No timeOffset for HeadChordInter#5357{(0.916/0.916) staff:1 slot#7 dur:1/4}
2025-12-26 13:16:19,573 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]   AbstractChordInter.java:627  | Measure{#2} No timeOffset for RestChordInter#6002{(0.694/0.694) staff:2 slot#7 dur:1/2}
2025-12-26 13:16:19,575 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]          StackRhythm.java:224  | S1 MeasureStack#2 no correct rhythm
2025-12-26 13:16:19,602 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]        MeasureRhythm.java:1045 | Measure{#7} No timeOffset for HeadChordInter#5393{(0.949/0.949) staff:3 slot#6 dur:1/4}
2025-12-26 13:16:19,603 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]        MeasureRhythm.java:1045 | Measure{#7} No timeOffset for HeadChordInter#5405{(0.954/0.954) staff:4 slot#6 dur:1/4}
2025-12-26 13:16:19,603 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]   AbstractChordInter.java:627  | Measure{#7} No timeOffset for HeadChordInter#5393{(0.949/0.949) staff:3 slot#6 dur:1/4}
2025-12-26 13:16:19,603 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]   AbstractChordInter.java:627  | Measure{#7} No timeOffset for HeadChordInter#5405{(0.954/0.954) staff:4 slot#6 dur:1/4}
2025-12-26 13:16:19,605 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]        MeasureRhythm.java:1045 | Measure{#7} No timeOffset for HeadChordInter#5394{(0.915/0.915) staff:3 slot#7 dur:1/4}
2025-12-26 13:16:19,605 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]   AbstractChordInter.java:627  | Measure{#7} No timeOffset for HeadChordInter#5396{(0.927/0.927) staff:3 slot#8 dur:1/8}
2025-12-26 13:16:19,605 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]   AbstractChordInter.java:627  | Measure{#7} No timeOffset for HeadChordInter#5406{(0.954/0.954) staff:4 slot#7 dur:1/4}
2025-12-26 13:16:19,609 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]   AbstractChordInter.java:627  | Measure{#7} No timeOffset for HeadChordInter#5394{(0.915/0.915) staff:3 slot#7 dur:1/4}
2025-12-26 13:16:19,610 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]          StackRhythm.java:224  | S2 MeasureStack#7 no correct rhythm
2025-12-26 13:16:19,615 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]        MeasureRhythm.java:1045 | Measure{#10} No timeOffset for HeadChordInter#5422{(0.922/0.922) staff:5 slot#8 dur:1/4}
2025-12-26 13:16:19,616 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]        MeasureRhythm.java:1045 | Measure{#10} No timeOffset for HeadChordInter#5436{(0.959/0.959) staff:6 slot#8 dur:1/4}
2025-12-26 13:16:19,616 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]          StackRhythm.java:224  | S3 MeasureStack#10 no correct rhythm
2025-12-26 13:16:19,629 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]        MeasureRhythm.java:1045 | Measure{#12} No timeOffset for HeadChordInter#5452{(0.964/0.964) staff:7 slot#11 dur:1/4}
2025-12-26 13:16:19,629 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]        MeasureRhythm.java:1045 | Measure{#12} No timeOffset for HeadChordInter#5477{(0.964/0.964) staff:8 slot#11 dur:1/4}
2025-12-26 13:16:19,630 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]          StackRhythm.java:224  | S4 MeasureStack#12 no correct rhythm
2025-12-26 13:16:19,635 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]       StepMonitoring.java:98   | PAGE
2025-12-26 13:16:19,648 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]                 Book.java:2596 | Book{101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0} storing
2025-12-26 13:16:19,688 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]                 Book.java:2577 | Stored /book.xml
2025-12-26 13:16:19,761 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]           DataHolder.java:348  | Stored /sheet#1/BINARY.png
2025-12-26 13:16:20,352 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]                Sheet.java:1583 | Stored /sheet#1/sheet#1.xml
2025-12-26 13:16:20,353 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]                 Book.java:2537 | Book stored as C:\Users\Elliot\Downloads\Audiveris\scores\101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0.omr
2025-12-26 13:16:20,359 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]            SheetStub.java:1660 | Disposed sheet
2025-12-26 13:16:20,389 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]                 Book.java:2064 | End of Stub#1
2025-12-26 13:16:20,390 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]                 Book.java:2071 | Book processed.
2025-12-26 13:16:20,683 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]            SheetStub.java:997  | Loaded /sheet#1/sheet#1.xml
2025-12-26 13:16:21,096 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]      PartwiseBuilder.java:2688 | Exporting sheet(s): [#1]
2025-12-26 13:16:21,096 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]                 Part.java:351  | Sheet#1 System#1 Part#2{ staves[1,2] configs:[5s,5s]} dummyPart id: 1
2025-12-26 13:16:21,102 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]                 Part.java:351  | Sheet#1 System#2 Part#2{ staves[3,4] configs:[5s,5s]} dummyPart id: 1
2025-12-26 13:16:21,102 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]                 Part.java:351  | Sheet#1 System#3 Part#2{ staves[5,6] configs:[5s,5s]} dummyPart id: 1
2025-12-26 13:16:21,126 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]                 Part.java:351  | Sheet#1 System#4 Part#1{ staves[7,8] configs:[5,5]} dummyPart id: 2
2025-12-26 13:16:21,210 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]        ScoreExporter.java:164  | Score 101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0 exported to C:\Users\Elliot\Downloads\Audiveris\scores\101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0.mxl
2025-12-26 13:16:21,253 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]                Score.java:181  | Closing {Score 1}
