2025-12-26 13:12:25,761 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]                 Book.java:560  | 1 sheet in C:\Users\Elliot\Downloads\Audiveris\scores\086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0.jpg
2025-12-26 13:12:27,139 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]    ClustersRetriever.java:326  | Retrieved raw line clusters: 8 of sizes [5] with interline(11,12,12)
2025-12-26 13:12:27,263 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]            PeakGraph.java:310  | Systems: #1[1, 2] #2[3, 4] #3[5, 6] #4[7, 8]
2025-12-26 13:12:27,523 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]        SystemManager.java:134  | Indentation detected for system #1
2025-12-26 13:12:27,525 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]        SystemManager.java:779  | 1 part along 4 systems
2025-12-26 13:12:27,526 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]                 Book.java:543  | Created scores: [{Score 1}]
2025-12-26 13:12:27,527 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]       StepMonitoring.java:98   | HEADERS
2025-12-26 13:12:27,843 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]      BasicClassifier.java:286  | Classifier loaded XML norms.
2025-12-26 13:12:27,845 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]   AbstractClassifier.java:396  | Classifier data loaded from default uri jar:file:/C:/Users/Elliot/Downloads/Audiveris/app/audiveris.jar!/res/basic-classifier.zip
2025-12-26 13:12:28,642 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]       StepMonitoring.java:98   | STEM_SEEDS
2025-12-26 13:12:28,683 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]        StemSeedsStep.java:86   | stem(2 max:3)
2025-12-26 13:12:28,742 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]       StepMonitoring.java:98   | BEAMS
2025-12-26 13:12:29,630 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]       StepMonitoring.java:98   | LEDGERS
2025-12-26 13:12:29,858 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]       StepMonitoring.java:98   | HEADS
2025-12-26 13:12:31,368 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]        HeadSeedTally.java:235  | Scale information: HeadSeeds{NOTEHEAD_VOID[L:-0.2,R:-0.1] NOTEHEAD_BLACK[L:-0.2,R:0.4]}
2025-12-26 13:12:31,368 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]       StepMonitoring.java:98   | STEMS
2025-12-26 13:12:32,236 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]           BeamLinker.java:1729 | Not linking shorter BeamInter#1427{(0.505) BEAM}
2025-12-26 13:12:32,252 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]       StepMonitoring.java:98   | REDUCTION
2025-12-26 13:12:32,426 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]        ReductionStep.java:105  | Stems free length median value: 36 pixels, 3.0 interlines
2025-12-26 13:12:32,434 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]       StepMonitoring.java:98   | CUE_BEAMS
2025-12-26 13:12:32,435 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]         CueBeamsStep.java:81   | Step CUE_BEAMS is skipped because small heads switch is off
2025-12-26 13:12:32,435 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]       StepMonitoring.java:98   | TEXTS
2025-12-26 13:12:32,544 WARN [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]         TesseractOCR.java:335  | The collection of supported languages is empty
2025-12-26 13:12:32,545 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]              OcrUtil.java:106  | Missing support for 'eng' language(s)
2025-12-26 13:12:32,560 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]       StepMonitoring.java:98   | MEASURES
2025-12-26 13:12:32,578 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]                 Page.java:307  | 12 raw measures: [3 in system#1, 4 in system#2, 3 in system#3, 2 in system#4]
2025-12-26 13:12:32,578 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]       StepMonitoring.java:98   | CHORDS
2025-12-26 13:12:32,599 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]       StepMonitoring.java:98   | CURVES
2025-12-26 13:12:33,264 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]         SlursBuilder.java:240  | Slurs: 54
2025-12-26 13:12:33,308 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]      SegmentsBuilder.java:155  | Segments: 20
2025-12-26 13:12:33,318 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]       StepMonitoring.java:98   | SYMBOLS
2025-12-26 13:12:33,860 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]       StepMonitoring.java:98   | LINKS
2025-12-26 13:12:33,974 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]       StepMonitoring.java:98   | RHYTHMS
2025-12-26 13:12:34,074 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]        MeasureRhythm.java:1045 | Measure{#10} No timeOffset for HeadChordInter#5295{(0.925/0.925) staff:5 slot#10 dur:1/16}
2025-12-26 13:12:34,075 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]                Voice.java:257  | Measure{#10} Voice{#3 excess:1/4} too long
2025-12-26 13:12:34,076 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]                Voice.java:257  | Measure{#10} Voice{#6 excess:1/4} too long
2025-12-26 13:12:34,077 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]          StackRhythm.java:224  | S3 MeasureStack#10 no correct rhythm
2025-12-26 13:12:34,088 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]       StepMonitoring.java:98   | PAGE
2025-12-26 13:12:34,094 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]                Voice.java:257  | Measure{#10} Voice{#3 excess:1/4} too long
2025-12-26 13:12:34,095 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]                Voice.java:257  | Measure{#10} Voice{#6 excess:1/4} too long
2025-12-26 13:12:34,100 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]                 Book.java:2596 | Book{086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0} storing
2025-12-26 13:12:34,150 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]                 Book.java:2577 | Stored /book.xml
2025-12-26 13:12:34,233 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]           DataHolder.java:348  | Stored /sheet#1/BINARY.png
2025-12-26 13:12:34,971 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]                Sheet.java:1583 | Stored /sheet#1/sheet#1.xml
2025-12-26 13:12:34,971 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]                 Book.java:2537 | Book stored as C:\Users\Elliot\Downloads\Audiveris\scores\086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0.omr
2025-12-26 13:12:34,977 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]            SheetStub.java:1660 | Disposed sheet
2025-12-26 13:12:35,008 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]                 Book.java:2064 | End of Stub#1
2025-12-26 13:12:35,009 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]                 Book.java:2071 | Book processed.
2025-12-26 13:12:35,382 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]            SheetStub.java:997  | Loaded /sheet#1/sheet#1.xml
2025-12-26 13:12:35,832 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]      PartwiseBuilder.java:2688 | Exporting sheet(s): [#1]
2025-12-26 13:12:35,957 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]        ScoreExporter.java:164  | Score 086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0 exported to C:\Users\Elliot\Downloads\Audiveris\scores\086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0.mxl
2025-12-26 13:12:36,005 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]                Score.java:181  | Closing {Score 1}
