2025-12-26 12:59:47,207 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]                 Book.java:560  | 1 sheet in C:\Users\Elliot\Downloads\Audiveris\scores\038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0.jpg
2025-12-26 12:59:48,095 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]    ClustersRetriever.java:326  | Retrieved raw line clusters: 6 of sizes [5] with interline(11,12,12)
2025-12-26 12:59:48,245 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]            PeakGraph.java:310  | Systems: #1[1, 2] #2[3, 4] #3[5, 6]
2025-12-26 12:59:48,562 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]        SystemManager.java:134  | Indentation detected for system #1
2025-12-26 12:59:48,563 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]        SystemManager.java:779  | 1 part along 3 systems
2025-12-26 12:59:48,564 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]                 Book.java:543  | Created scores: [{Score 1}]
2025-12-26 12:59:48,564 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]       StepMonitoring.java:98   | HEADERS
2025-12-26 12:59:48,972 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]      BasicClassifier.java:286  | Classifier loaded XML norms.
2025-12-26 12:59:48,976 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]   AbstractClassifier.java:396  | Classifier data loaded from default uri jar:file:/C:/Users/Elliot/Downloads/Audiveris/app/audiveris.jar!/res/basic-classifier.zip
2025-12-26 12:59:49,787 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]       StepMonitoring.java:98   | STEM_SEEDS
2025-12-26 12:59:49,819 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]        StemSeedsStep.java:86   | stem(2 max:3)
2025-12-26 12:59:49,857 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]       StepMonitoring.java:98   | BEAMS
2025-12-26 12:59:51,173 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]       StepMonitoring.java:98   | LEDGERS
2025-12-26 12:59:51,511 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]       StepMonitoring.java:98   | HEADS
2025-12-26 12:59:53,033 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]        HeadSeedTally.java:235  | Scale information: HeadSeeds{NOTEHEAD_VOID[L:-0.7] NOTEHEAD_BLACK[L:-0.3,R:0.4]}
2025-12-26 12:59:53,034 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]       StepMonitoring.java:98   | STEMS
2025-12-26 12:59:53,767 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]       StepMonitoring.java:98   | REDUCTION
2025-12-26 12:59:53,958 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]        ReductionStep.java:105  | Stems free length median value: 37 pixels, 3.1 interlines
2025-12-26 12:59:53,962 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]       StepMonitoring.java:98   | CUE_BEAMS
2025-12-26 12:59:53,963 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]         CueBeamsStep.java:81   | Step CUE_BEAMS is skipped because small heads switch is off
2025-12-26 12:59:53,963 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]       StepMonitoring.java:98   | TEXTS
2025-12-26 12:59:54,054 WARN [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]         TesseractOCR.java:335  | The collection of supported languages is empty
2025-12-26 12:59:54,055 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]              OcrUtil.java:106  | Missing support for 'eng' language(s)
2025-12-26 12:59:54,065 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]       StepMonitoring.java:98   | MEASURES
2025-12-26 12:59:54,077 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]                 Page.java:307  | 10 raw measures: [4 in system#1, 4 in system#2, 2 in system#3]
2025-12-26 12:59:54,078 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]       StepMonitoring.java:98   | CHORDS
2025-12-26 12:59:54,097 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]       StepMonitoring.java:98   | CURVES
2025-12-26 12:59:54,947 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]         SlursBuilder.java:240  | Slurs: 29
2025-12-26 12:59:54,966 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]      SegmentsBuilder.java:155  | Segments: 15
2025-12-26 12:59:54,976 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]       StepMonitoring.java:98   | SYMBOLS
2025-12-26 12:59:55,764 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]       StepMonitoring.java:98   | LINKS
2025-12-26 12:59:55,860 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]        SymbolsLinker.java:258  | No chord linked to OctaveShiftInter#4262{(0.353) staff:6 QUINDICESIMA ALTA}
2025-12-26 12:59:55,888 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]       StepMonitoring.java:98   | RHYTHMS
2025-12-26 12:59:55,968 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]                Voice.java:257  | Measure{#5} Voice{#1 excess:1/8} too long
2025-12-26 12:59:55,970 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]          StackRhythm.java:224  | S2 MeasureStack#5 no correct rhythm
2025-12-26 12:59:55,976 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]                Voice.java:257  | Measure{#6} Voice{#5 excess:1/4} too long
2025-12-26 12:59:55,977 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]          StackRhythm.java:224  | S2 MeasureStack#6 no correct rhythm
2025-12-26 12:59:56,006 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]       StepMonitoring.java:98   | PAGE
2025-12-26 12:59:56,016 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]                Voice.java:257  | Measure{#5} Voice{#1 excess:1/8} too long
2025-12-26 12:59:56,017 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]                Voice.java:257  | Measure{#6} Voice{#5 excess:1/4} too long
2025-12-26 12:59:56,023 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]                 Book.java:2596 | Book{038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0} storing
2025-12-26 12:59:56,067 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]                 Book.java:2577 | Stored /book.xml
2025-12-26 12:59:56,167 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]           DataHolder.java:348  | Stored /sheet#1/BINARY.png
2025-12-26 12:59:57,010 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]                Sheet.java:1583 | Stored /sheet#1/sheet#1.xml
2025-12-26 12:59:57,012 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]                 Book.java:2537 | Book stored as C:\Users\Elliot\Downloads\Audiveris\scores\038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0.omr
2025-12-26 12:59:57,018 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]            SheetStub.java:1660 | Disposed sheet
2025-12-26 12:59:57,064 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]                 Book.java:2064 | End of Stub#1
2025-12-26 12:59:57,066 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]                 Book.java:2071 | Book processed.
2025-12-26 12:59:57,681 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]            SheetStub.java:997  | Loaded /sheet#1/sheet#1.xml
2025-12-26 12:59:58,240 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]      PartwiseBuilder.java:2688 | Exporting sheet(s): [#1]
2025-12-26 12:59:58,363 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]        ScoreExporter.java:164  | Score 038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0 exported to C:\Users\Elliot\Downloads\Audiveris\scores\038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0.mxl
2025-12-26 12:59:58,406 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]                Score.java:181  | Closing {Score 1}
